Closed,Closed,Closed,Closed,Closed,Closed,Closed,Wall,Wall,Wall,Wall,Wall,Floor,Floor,Floor
Closed,Closed,Closed,Closed,Closed,Closed,Closed,Wall,Plain,Plain,Plain,Wall,Floor,Floor,Floor
Closed,Closed,Closed,Closed,Closed,Closed,Closed,Wall,Plain,Avenue,Avenue,Gate,Floor,Floor,Floor
Closed,Closed,Closed,Closed,Closed,Closed,Closed,Wall,Plain,Avenue,Plain,Wall,Floor,Floor,Floor
Closed,Closed,Closed,Closed,Closed,Closed,Closed,Wall,Wall,Gate,Wall,Wall,Floor,Floor,Floor
Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Floor,Floor,Floor,Wall,Wall,Gate,Wall
Treasury,Floor,Floor,Floor,Floor,Wall,Gate,Wall,Floor,Floor,Floor,Floor,Wall,Floor,Wall
Floor,Floor,Floor,Floor,Floor,Wall,Floor,Floor,Floor,Floor,Floor,Floor,Wall,Floor,Floor
Floor,Floor,Floor,Floor,Floor,Gate,Floor,Floor,Floor,Floor,Floor,Floor,Wall,Floor,Floor
Treasury,Floor,Floor,Floor,Floor,Wall,Floor,Floor,Floor,Floor,Floor,Floor,Wall,Wall,Floor
Wall,Wall,Wall,Wall,Wall,Wall,Floor,Floor,Floor,Floor,Floor,Floor,Wall,Wall,Floor
Plain,Plain,Plain,Plain,Plain,Wall,Wall,Floor,Floor,Wall,Wall,Wall,Wall,Wall,Floor
Plain,Village,Wood,Wood,Plain,Wall,Wall,Floor,Floor,Wall,Floor,Floor,Treasury,Wall,Floor
Plain,Plain,Plain,Wood,Plain,Plain,Wall,Floor,Floor,Wall,Floor,Floor,Floor,Floor,Floor
Fort,Plain,Wood,Plain,Plain,Plain,Wall,Floor,Floor,Gate,Floor,Floor,Floor,Wall,Wall
Plain,Plain,Plain,Plain,Plain,Plain,Wall,Wall,Gate,Wall,Wall,Wall,Wall,Wall,Wall
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain
